Group,REFID,Synonym,CF_CODE10,Standard_Table,Systematic Name,Common Term,Acronym,Term Description,DIM,UOM_MDC,UOM_UCUM,CF_UCODE10,Enum_Values,External_sites,Vendor_VMD,Vendor_Description
DS-IP-SYR DS-IP-PCA DS-IP-LVP DS-IP,MDC_EVT_PUMP_DELIV_COMP,,,,,,,,"1","MDC_DIM_DIMLESS","{unitless} 1",262656,,,"MDC_DEV_PUMP_INFUS_VMD/MDC_DEV_PUMP_INFUS_CHAN_DELIVERY {IHE PCD Infusion Pump Work Group }","Infusion pump has completed programmed infusate delivery. {IHE PCD Infusion Pump Work Group }"
DS-IP-SYR DS-IP-PCA DS-IP-LVP DS-IP,MDC_EVT_PUMP_DELIV_START,,,,,,,,"1","MDC_DIM_DIMLESS","{unitless} 1",262656,,,"MDC_DEV_PUMP_INFUS_VMD/MDC_DEV_PUMP_INFUS_CHAN_DELIVERY {IHE PCD Infusion Pump Work Group }","Initiation of a pump infusate delivery based on a set of infusion protocol parameters. {IHE PCD Infusion Pump Work Group }"
DS-IP-SYR DS-IP-PCA DS-IP-LVP DS-IP,MDC_EVT_PUMP_DELIV_STOP,,,,,,,,"1","MDC_DIM_DIMLESS","{unitless} 1",262656,,," MDC_DEV_PUMP_INFUS_VMD/MDC_DEV_PUMP_INFUS_CHAN_DELIVERY {IHE PCD Infusion Pump Work Group }","Infusion pump infusate delivery has stopped. {IHE PCD Infusion Pump Work Group }"
DS-IP-SYR DS-IP-PCA DS-IP-LVP DS-IP,MDC_EVT_PUMP_PROG_CLEARED,,,,,,,,"1","MDC_DIM_DIMLESS","{unitless} 1",262656,,,"MDC_DEV_PUMP_INFUS_VMD {IHE PCD Infusion Pump Work Group }","Infusion pump therapy program settings have been cleared. {IHE PCD Infusion Pump Work Group }"
GASDLV,MDC_FLOW_AIR_FG,,152876,"A.7.4.8","Flow | | Air, Gas","Fresh air flow",,"Flow of Air component of Fresh Gas","","MDC_DIM_L_PER_MIN","L/min",265216,,," {Mindray}","Flow of Air component of Fresh Gas {Mindray}"
GASDLV,MDC_FLOW_AIR_FG_SETTING,,16930092,"A.7.4.8",,,,,"","MDC_DIM_L_PER_MIN","L/min",265216,,,"    {IEEE}",""
RESP_FLOW,MDC_FLOW_AWAY,,151764,"A.7.4.8","Flow | | Gas | Breathing","Airway flow","V̇","Gas flow in airway","L3T-1 ","MDC_DIM_MILLI_L_PER_MIN MDC_DIM_L_PER_MIN","mL/min L/min",265234 265216,,,"PHYSIO_SRC_ID_UNSPEC {Philips}   {VIASYS}","Airway Flow Wave {Philips} Airway Net Flow {VIASYS}"
RESP_FLOW,MDC_FLOW_AWAY_EXP,,151768,"A.7.4.8","Flow | Expiration | Gas","Expiratory airway flow","<i>V̇</i><sub>E</sub>","Expiratory gas flow","L3T-1 ","MDC_DIM_MILLI_L_PER_MIN MDC_DIM_L_PER_MIN","mL/min L/min",265234 265216,,,"  {IEEE}",""
GASMON_FLOW_FORCED_PHD,MDC_FLOW_AWAY_EXP_FORCED_PEAK,,152584,"A.7.13.1","Flow | Expiration, Maximum | Gas | Maximal Forced Expiration","peak expiratory flow","PEF","force starting immediately after achieving maximum lung inflation","","MDC_DIM_L_PER_MIN","L/min",265216,,,,""
GASMON_FLOW_FORCED_PHD,MDC_FLOW_AWAY_EXP_FORCED_PEAK_PB,,152585,"A.7.13.1","Flow | Expiration, Maximum of Maximum | Gas | Maximal Forced Expiration","Personal best",,"This value is determined by a healthcare professional or based on predicted average peak flow and is typically the highest peak condition.expiratory flow (PEF) reading an individual can obtain while in peak","","MDC_DIM_L_PER_MIN","L/min",265216,,,,""
RESP_FLOW,MDC_FLOW_AWAY_EXP_MAX,,151769,"A.7.4.8","Flow | Expiration, Maximum | Gas","Expiratory maximum airway flow","<i>V̇</i><sub>E max</sub>","Maximum expiratory gas flow","L3T-1 ","MDC_DIM_MILLI_L_PER_MIN MDC_DIM_L_PER_MIN","mL/min L/min",265234 265216,,,"  {Philips} MDC_DEV_ANALY_AWAY_MULTI_PARAM_VMD {GE}   {VIASYS}","Peak Expiratory Flow {Philips} Peak Expiratory Flow {GE} Peak Expiratory Flow Rate {VIASYS}"
RESP_FLOW,MDC_FLOW_AWAY_INSP,,151772,"A.7.4.8","Flow | Gas | Airway | Inspiratory","Inspiratory airway flow","<i>V̇</i><sub>I</sub>","Inspiratory gas flow in airway","L3T-1 ","MDC_DIM_MILLI_L_PER_MIN MDC_DIM_L_PER_MIN","mL/min L/min",265234 265216,,,,""
RESP_FLOW,MDC_FLOW_AWAY_INSP_MAX,,151773,"A.7.4.8","Flow | Inspiratory, Maximum | Gas","Inspiratory maximum airway flow","<i>V̇</i><sub>I max</sub>","Maximum inspiratory gas flow","L3T-1 ","MDC_DIM_MILLI_L_PER_MIN MDC_DIM_L_PER_MIN","mL/min L/min",265234 265216,,,"  {Philips}   {VIASYS}","Peak Inspiratory Flow {Philips} Peak Inspiratory Flow Rate {VIASYS}"
CVS_HEMO_PERF,MDC_FLOW_BLD_PULM_CAP,,150652,"A.7.3.1","Flow | | Blood, PulmonaryCapillary | CVS","Pulmonary Capillary Blood Flow",,"Flow of the blood in the pulmonary capillaries.","","MDC_DIM_L_PER_MIN","L/min",265216,,,"MDC_DEV_ANALY_CARD_OUTPUT_NONINV_VMD {GE}   {Editorial-pss}","Pulmonary Capillary Blood Flow {GE} Pulmonary Capillary Blood Flow {Editorial-pss}"
RESP_FLOW_CO2 GASDLV_CO2,MDC_FLOW_CO2_PROD_RESP,,151776,"A.7.4.8","Flow | Production | CO2, Gas | Breathing","CO2 Production","<i>V̇</i> CO<sub>2</sub>","Rate of production of carbon dioxide, measured by expired carbon dioxide in airway per unit time (typ /min)","L3T-1 ","MDC_DIM_MILLI_L_PER_MIN MDC_DIM_L_PER_MIN","mL/min L/min",265234 265216,,,"PHYSIO_SRC_ID_UNSPEC {Philips}   {Editorial-pss} MDC_DEV_SYS_PT_VENT_VMD {Editorial-RTMV}","CO2 Production {Philips}  Respiratory production rate of carbon dioxide {Editorial-RTMV}"
GASMON_FLOW_CO2_PROD,MDC_FLOW_CO2_PROD_RESP_PER_BSA,,152828,"A.7.4.8","Flow per BodySurfaceArea | Production | CO2, Gas | Breathing","CO2 Production per body surface area (typ m<sup>2</sup>)","<i>V̇</i> CO<sub>2</sub> /m<sup>2</sup>","Rate of production of carbon dioxide, measured by expired carbon dioxide in airway per unit time (typ  /min), normalized by patient body surface area (typ m<sup>2</sup>).","L3T-1L-2","MDC_DIM_MILLI_L_PER_MIN_PER_M_SQ","mL/min/m2",265010,,,,""
GASMON_FLOW_CO2_PROD,MDC_FLOW_CO2_PROD_RESP_PER_IBW,,152824,"A.7.4.8","Flow per BodyMass | Production | CO2, Gas | Breathing","CO2 Production per body mass (typ kg)"," <i>V̇</i> CO<sub>2</sub> /kg","Rate of production of carbon dioxide, measured by expired carbon dioxide in airway per unit time (typ  /min), normalized by the patient’s ideal body weight (typ kg).","L3T-1M-1","MDC_DIM_MILLI_L_PER_MIN_PER_KG","mL/min/kg",270930,,,,""
INFUS,MDC_FLOW_DRUG_DELIV,,157804,,"Flow | Mass, Delivery | Drug, Fluid | Pump","Drug delivery rate","","Drug delivery rate to patient (comment: optional site attribute according to Table A.9.8.7 [miscellaneous body sites])","L3T-1","MDC_DIM_MILLI_L_PER_HR","mL/h",265266,,,"MDC_DEV_PUMP_INFUS_VMD/MDC_DEV_PUMP_INFUS_CHAN {GE}","IV Pump 1 - Primary Rate {GE} IV Pump 1 - Secondary Rate {GE}"
INFUS,MDC_FLOW_FLUID_PUMP,,157784,,"Flow | Delivery | Fluid | Pump","Fluid delivery rate","","Volume rate delivered by pump (comment: optional site attribute according to Table A.9.8.7 [miscellaneous body sites])","L3T-1","MDC_DIM_MILLI_L_PER_HR","mL/h",265266,,,"MDC_DEV_PUMP_INFUS_VMD {BBraun_PL}","Infusion Rate {BBraun_PL}"
DS-IP DS-IP-DELIVERY,MDC_FLOW_FLUID_PUMP_CURRENT,,158014,"A.7.7.1","","","","","L3T-1","MDC_DIM_MILLI_L_PER_HR","mL/h",265266,,,"Delivery Info {IHE PCD Infusion Pump Work Group }","The current flow of fluid through the pump {IHE PCD Infusion Pump Work Group }"
GASDLV,MDC_FLOW_N2O_FG,,153092,"A.7.4.8","Flow | | N2O, Gas","Fresh gas nitrous oxide flow",,"Flow of Nitrous Oxide component of Fresh Gas","","MDC_DIM_L_PER_MIN","L/min",265216,,," {Mindray}","Flow of Nitrous Oxide component of Fresh Gas {Mindray}"
GASDLV,MDC_FLOW_N2O_FG_SETTING,,16930308,"A.7.4.8",,,,,"","MDC_DIM_L_PER_MIN","L/min",265216,,,"    {IEEE}",""
GASMON_O2 GASDLV_O2,MDC_FLOW_O2_CONSUMP,,152420,"A.7.4.8","Flow | Consumption | O2, Gas | Breathing","O2 Consumption","<i>V̇</i> O<sub>2</sub>","The volume of oxygen a patient inhales (consumes) per minute.","L3T-1","MDC_DIM_MILLI_L_PER_MIN","mL/min",265234,,,"PHYSIO_SRC_ID_SVO2 {Draeger} PHYSIO_SRC_ID_CALC {Draeger} MDC_DEV_SYS_PT_VENT_VMD {Editorial-RTMV}","O2 consumption {Draeger} Consumption rate of oxygen {Editorial-RTMV}"
GASMON_FLOW_O2_CONSUMP,MDC_FLOW_O2_CONSUMP_PER_BSA,,152820,"A.7.4.8","Flow per BodySurfaceArea | Consumption | O2, Gas | Breathing","O2 Consumption per body surface area (typ m<sup>2</sup>)","<i>V̇</i> O<sub>2</sub> /m<sup>2</sup>","The volume of oxygen a patient inhales (consumes) per minute, normalized by patient body surface area (typ m<sup>2</sup>).","L3T-1L-2","MDC_DIM_MILLI_L_PER_MIN_PER_M_SQ","mL/min/m2",265010,,,,""
GASMON_FLOW_O2_CONSUMP,MDC_FLOW_O2_CONSUMP_PER_IBW,,152816,"A.7.4.8","Flow per BodyMass | Consumption | O2, Gas | Breathing","O2 Consumption per body mass (typ kg)"," <i>V̇</i> O<sub>2</sub> /kg","The volume of oxygen a patient inhales (consumes) per minute, normalized by the patient’s ideal body weight (typ kg).","L3T-1M-1","MDC_DIM_MILLI_L_PER_MIN_PER_KG","mL/min/kg",270930,,,,""
GASDLV,MDC_FLOW_O2_FG,,153156,"A.7.4.8","Flow | | O2, Gas","Fresh gas oxygen flow",,"Flow of Oxygen component of Fresh Gas","","MDC_DIM_L_PER_MIN","L/min",265216,,," {Mindray}","Flow of Oxygen component of Fresh Gas {Mindray}"
GASDLV,MDC_FLOW_O2_FG_SETTING,,16930372,"A.7.4.8",,,,,"","MDC_DIM_L_PER_MIN","L/min",265216,,,"    {IEEE}",""
GASDLV_AA,MDC_GASDLV_AGENT,,184404,"A.7.4.8","Identity | | Agent(s), Gas | Airway","Anesthetic agent(s)","Agent ID","The identity of volatile anesthetic agents that have been detected and/or are known to be present in airway gas during inspiration and/or inflation.","",,"",,"UNKNOWN NOAGENT DESFL ENFL HALOTH ISOFL SEVOFL",,,""
GASDLV_AA,MDC_GASDLV_AGENT_SETTING,,16961620,"A.7.4.8","Identity | | Agent(s), Gas | Airway, Setting or selection",,,"The identity of volatile anesthetic agents based on user selection of vaporizer and/or cassette.","",,"",,"UNKNOWN NOAGENT DESFL ENFL HALOTH ISOFL SEVOFL",,"  {IEEE}",""
GASDLV_AA,MDC_GASDLV_BALANCE_GAS,,184405,"A.7.4.8","Identity | | Balance Gas(es), Gas | Airway","Balance Gas","Balance Gas","The identity of the balance (carrier) gases that have been detected and/or are known to be present in airway gas during inspiration and/or inflation.","",,"",,"N2O AIR",,,""
GASDLV_AA,MDC_GASDLV_BALANCE_GAS_SETTING,,16961621,"A.7.4.8","Identity | | Balance Gas(es), Gas | Airway, Setting or selection",,,"The identity of the balance (carrier) gases based on user selection.","",,"",,"N2O AIR",,"  {IEEE}",""
GLU_DEV_STATUS_PHD,MDC_GLU_METER_DEV_STATUS,,8417752,,"","","","","",,"",,"<0|1>^sensor-malfunction(1) <0|1>^device-battery-low(0) <0|1>^sensor-sample-size-insufficient(2) <0|1>^sensor-strip-insertion(3) <0|1>^sensor-strip-type-incorrect(4) <0|1>^sensor-result-too-high(5) <0|1>^sensor-result-too-low(6) <0|1>^sensor-temp-too-high(7) <0|1>^sensor-temp-too-low(8) <0|1>^sensor-read-interrupt(9) <0|1>^device-gen-fault(10)",,"  {IEEE}",""
CVS_HEMO_CALC,MDC_GRAD_PRESS_BLD_AORT_POS_MAX,,150565,,"Gradient | BloodPressure, MaxPositive | AorticValve | Heart, CVS","Maximum aortic valve pressure gradient","AVPGrMax","Peak blood pressure gradient across aortic valve during SEP","LMT-2L-2 LMT-2L-2","MDC_DIM_KILO_PASCAL MDC_DIM_MMHG","kPa mm[Hg]",265987 266016,,,"PHYSIO_SRC_ID_CCO {Philips}","Index of Left Ventricular Contractility {Philips}"
RESP_TTHOR,MDC_IMPED_TTHOR,,151780,"A.7.4.8","ElectricalImpedance | Transthoracic | Respiration | Breathing","Transthoracic Impedance","Z0","Transthoracic measurement of electrical impedance (influenced by respiration and other factors)","ML2I-2T-3 ","MDC_DIM_MILLI_OHM MDC_DIM_OHM","mOhm Ohm",266450 ,,,"PHYSIO_SRC_ID_RESP {Philips}  {Editorial-pss}","Transthoracic Impedance {Philips} "
BLD_CHM_INR_PHD,MDC_INR_METER_DEV_STATUS,,8417909,,,,,,"",,"",,"<0|1>^sensor-malfunction(1) <0|1>^device-battery-low(0) <0|1>^sensor-sample-size-insufficient(2) <0|1>^sensor-strip-insertion(3) <0|1>^sensor-strip-type-incorrect(4) <0|1>^sensor-result-too-high(5) <0|1>^sensor-result-too-low(6) <0|1>^sensor-temp-too-high(7) <0|1>^sensor-temp-too-low(8) <0|1>^sensor-read-interrupt(9) <0|1>^device-gen-fault(10) <0|1>^inr-sensor-calibration-due(11)",,"  {IEEE}",""
BLD_CHM_INR_ISI_PHD,MDC_ISI_COAG,,160272,"A.7.13.1","ISI | Coagulation | Plasma | Blood Chemistry","International Sensitivity Index",,"Standardized calibration for a thromboplastin compared to the WHO standard.","1","MDC_DIM_DIMLESS","{unitless} 1",262656,,,,""
BODY,MDC_LEN_BODY_ACTUAL,,188740,,"Length | Actual |  | Body","Patient actual height","","The actual height of the patient, especially for neonates, babies, and children during long-term therapy"," L","MDC_DIM_INCH MDC_DIM_CENTI_M","[in_i] cm",263520 263441,,," {WelchAllyn}  {Editorial-pss}","Height {WelchAllyn} Height {Editorial-pss}"
BODY,MDC_MASS_BODY_ACTUAL,,188736,"A.7.11.1","Mass | Actual | | Body","Patient actual weight",,"The measurement of the mass of patient, e.g., by a scale in bed, e.g., during therapy"," M  ","MDC_DIM_LB MDC_DIM_KILO_G MDC_DIM_G MDC_DIM_OZ","[lb_av] kg g [oz_av]",263904 263875 263872 263936,,," {WelchAllyn}  {Editorial-pss}","Weight {WelchAllyn} Weight {Editorial-pss}"
BODY,MDC_MASS_BODY_EST_ABW,,188800,"A.7.11.1","Mass | Estimated | | Body, Adjusted","Adjusted Body Weight","ABW","Adjusted Body Weight, an estimate based on the IBW and following rule:<br/><i>If the actual body weight is greater than 30% of the calculated IBW (all in kg), the adjusted body weight (ABW) estimate is:</i><br/><i>ABW = IBW + 0.4 (actual weight - IBW)</i>","M   ","MDC_DIM_KILO_G MDC_DIM_G MDC_DIM_LB MDC_DIM_OZ","kg g [lb_av] [oz_av]",263875 263872 263904 263936,,,,""
BODY,MDC_MASS_BODY_EST_IBW,,188796,"A.7.11.1","Mass | Estimated | | Body, Ideal ","Predicted Body Weight","IBW, PBW","Ideal body weight (IBW), an estimate based solely on patient height using the Devine Formula (1974):<br/><i>Male (in kg):  50.0 + 2.3 kg per inch over 5 feet</i><br/><i>Female (in kg):  45.5 + 2.3 kg per inch over 5 fee</i>t<b><br/></b>The Devine formula can be re-expressed using other units-of-measure.  Also called the Predicted Body Weight.","M   ","MDC_DIM_KILO_G MDC_DIM_G MDC_DIM_LB MDC_DIM_OZ","kg g [lb_av] [oz_av]",263875 263872 263904 263936,,,,""
BODY_MASS_FAT_FREE,MDC_MASS_BODY_FAT_FREE,,188756,"A.7.13.1","Mass | Actual | fat free mass | Body","fat free mass","FFM","The sum of the soft lean mass and mineral mass in the human body.","M ","MDC_DIM_KILO_G MDC_DIM_LB","kg [lb_av]",263875 263904,,,,""
BODY_MASS_SOFT_LEAN,MDC_MASS_BODY_SOFT_LEAN,,188760,"A.7.13.1","Mass | Actual | Soft lean mass | Body","soft lean mass","SLM","The sum of the soft lean mass in the human body.","M ","MDC_DIM_KILO_G MDC_DIM_LB","kg [lb_av]",263875 263904,,,,""
INFUS,MDC_MASS_DRUG_DELIV,,157820,,"Mass | Delivered | Drug, Fluid | Pump","Delivered drug mass","","Mass of drug delivered to the patient (comment: optional site attribute according to Table A.9.8.7 [miscellaneous body sites])","MM-1 MM-1 MM-1 MM-1 L3 M M M M ML-2 ML-2 ML-2 ML-2 ML-2 L3M-1 N N N N NM-1 NM-1 NL-2 NL-2 NM-1 NM-1 NL-2 NL-2 [iU] [iU] [iU] [iU]M-1 [iU]M-1 [iU]M-1 [iU]L-2 [iU]L-2 [iU]L-2 [iU] [iU]M-1 (arb’U) arb.u  arb.u  arb.u [arb.u]M-1 [arb.u]L-2 [arb.u] [arb.u]M-1 [arb.u] [arb.u]M-1 [arb.u]L-2","MDC_DIM_X_G_PER_KG MDC_DIM_MILLI_G_PER_KG MDC_DIM_MICRO_G_PER_KG MDC_DIM_NANO_G_PER_KG MDC_DIM_MILLI_L MDC_DIM_X_G MDC_DIM_MILLI_G MDC_DIM_MICRO_G MDC_DIM_NANO_G MDC_DIM_X_G_PER_M_SQ MDC_DIM_KILO_G_PER_M_SQ MDC_DIM_MILLI_G_PER_M_SQ MDC_DIM_MICRO_G_PER_M_SQ MDC_DIM_NANO_G_PER_M_SQ MDC_DIM_MILLI_L_PER_KG MDC_DIM_X_MOLE MDC_DIM_MILLI_MOLE MDC_DIM_X_EQUIV MDC_DIM_MILLI_EQUIV MDC_DIM_X_MOLE_PER_KG MDC_DIM_MILLI_MOLE_PER_KG MDC_DIM_X_MOLE_PER_M_SQ MDC_DIM_MILLI_MOLE_PER_M_SQ MDC_DIM_X_EQUIV_PER_KG MDC_DIM_MILLI_EQUIV_PER_KG MDC_DIM_X_EQUIV_PER_M_SQ MDC_DIM_MILLI_EQUIV_PER_M_SQ MDC_DIM_X_INTL_UNIT MDC_DIM_MILLI_INTL_UNIT MDC_DIM_MEGA_INTL_UNIT MDC_DIM_X_INTL_UNIT_PER_KG MDC_DIM_MILLI_INTL_UNIT_PER_KG MDC_DIM_MEGA_INTL_UNIT_PER_KG MDC_DIM_X_INTL_UNIT_PER_M_SQ MDC_DIM_MILLI_INTL_UNIT_PER_M_SQ MDC_DIM_MEGA_INTL_UNIT_PER_M_SQ MDC_DIM_KILO_INTL_UNIT MDC_DIM_KILO_INTL_UNIT_PER_KG MDC_DIM_X_ARB_UNIT MDC_DIM_X_ARB_UNIT_PER_KG MDC_DIM_X_ARB_UNIT_PER_M_SQ MDC_DIM_MEGA_ARB_UNIT MDC_DIM_MEGA_ARB_UNIT_PER_KG MDC_DIM_MEGA_ARB_UNIT_PER_M_SQ MDC_DIM_KILO_ARB_UNIT MDC_DIM_KILO_ARB_UNIT_PER_KG MDC_DIM_MILLI_ARB_UNIT MDC_DIM_MILLI_ARB_UNIT_PER_KG MDC_DIM_MILLI_ARB_UNIT_PER_M_SQ","g/kg mg/kg ug/kg ng/kg mL g mg ug ng g/m2 kg/m2 mg/m2 ug/m2 ng/m2 mL/kg mol mmol eq meq mol/kg mmol/kg mol/m2 mmol/m2 eq/kg meq/kg eq/m2 meq/m2 [iU] m[iU] M[iU] [iU]/kg m[iU]/kg M[iU]/kg [iU]/m2 m[iU]/m2 M[iU]/m2 k[iU] k[iU]/kg [arb'U] [arb'U]/kg [arb'U]/m2 M[arb'U] M[arb'U]/kg M[arb'U]/m2 k[arb'U] k[arb'U]/kg m[arb'U] m[arb'U]/kg m[arb'U]/m2",262976 262994 262995 262996 263762 263872 263890 263891 263892 269888 269891 269906 269907 269908 265330 266688 266706 266720 266738 267072 267090 269696 269714 269728 269746 269760 269778 267616 267634 267620 269824 269842 269828 269856 269874 269860 267619 269827 271200 271488 271520 271204 271492 271524 271203 271491 271218 271506 271538,,,"MDC_DEV_PUMP_INFUS_VMD {Editorial-pss}","Mass of drug delivered to the patient {Editorial-pss}"
DS-IP-PCA,MDC_MASS_DRUG_REMAIN_CONTAINER,,158004,"A.7.7.1","","","","","MM-1 MM-1 MM-1 MM-1 L3 M M M M ML-2 ML-2 ML-2 ML-2 ML-2 L3M-1 N N N N NM-1 NM-1 NL-2 NL-2 NM-1 NM-1 NL-2 NL-2 [iU] [iU] [iU] [iU]M-1 [iU]M-1 [iU]M-1 [iU]L-2 [iU]L-2 [iU]L-2 [iU] [iU]M-1 (arb’U) arb.u  arb.u  arb.u [arb.u]M-1 [arb.u]L-2 [arb.u] [arb.u]M-1 [arb.u] [arb.u]M-1 [arb.u]L-2","MDC_DIM_X_G_PER_KG MDC_DIM_MILLI_G_PER_KG MDC_DIM_MICRO_G_PER_KG MDC_DIM_NANO_G_PER_KG MDC_DIM_MILLI_L MDC_DIM_X_G MDC_DIM_MILLI_G MDC_DIM_MICRO_G MDC_DIM_NANO_G MDC_DIM_X_G_PER_M_SQ MDC_DIM_KILO_G_PER_M_SQ MDC_DIM_MILLI_G_PER_M_SQ MDC_DIM_MICRO_G_PER_M_SQ MDC_DIM_NANO_G_PER_M_SQ MDC_DIM_MILLI_L_PER_KG MDC_DIM_X_MOLE MDC_DIM_MILLI_MOLE MDC_DIM_X_EQUIV MDC_DIM_MILLI_EQUIV MDC_DIM_X_MOLE_PER_KG MDC_DIM_MILLI_MOLE_PER_KG MDC_DIM_X_MOLE_PER_M_SQ MDC_DIM_MILLI_MOLE_PER_M_SQ MDC_DIM_X_EQUIV_PER_KG MDC_DIM_MILLI_EQUIV_PER_KG MDC_DIM_X_EQUIV_PER_M_SQ MDC_DIM_MILLI_EQUIV_PER_M_SQ MDC_DIM_X_INTL_UNIT MDC_DIM_MILLI_INTL_UNIT MDC_DIM_MEGA_INTL_UNIT MDC_DIM_X_INTL_UNIT_PER_KG MDC_DIM_MILLI_INTL_UNIT_PER_KG MDC_DIM_MEGA_INTL_UNIT_PER_KG MDC_DIM_X_INTL_UNIT_PER_M_SQ MDC_DIM_MILLI_INTL_UNIT_PER_M_SQ MDC_DIM_MEGA_INTL_UNIT_PER_M_SQ MDC_DIM_KILO_INTL_UNIT MDC_DIM_KILO_INTL_UNIT_PER_KG MDC_DIM_X_ARB_UNIT MDC_DIM_X_ARB_UNIT_PER_KG MDC_DIM_X_ARB_UNIT_PER_M_SQ MDC_DIM_MEGA_ARB_UNIT MDC_DIM_MEGA_ARB_UNIT_PER_KG MDC_DIM_MEGA_ARB_UNIT_PER_M_SQ MDC_DIM_KILO_ARB_UNIT MDC_DIM_KILO_ARB_UNIT_PER_KG MDC_DIM_MILLI_ARB_UNIT MDC_DIM_MILLI_ARB_UNIT_PER_KG MDC_DIM_MILLI_ARB_UNIT_PER_M_SQ","g/kg mg/kg ug/kg ng/kg mL g mg ug ng g/m2 kg/m2 mg/m2 ug/m2 ng/m2 mL/kg mol mmol eq meq mol/kg mmol/kg mol/m2 mmol/m2 eq/kg meq/kg eq/m2 meq/m2 [iU] m[iU] M[iU] [iU]/kg m[iU]/kg M[iU]/kg [iU]/m2 m[iU]/m2 M[iU]/m2 k[iU] k[iU]/kg [arb'U] [arb'U]/kg [arb'U]/m2 M[arb'U] M[arb'U]/kg M[arb'U]/m2 k[arb'U] k[arb'U]/kg m[arb'U] m[arb'U]/kg m[arb'U]/m2",262976 262994 262995 262996 263762 263872 263890 263891 263892 269888 269891 269906 269907 269908 265330 266688 266706 266720 266738 267072 267090 269696 269714 269728 269746 269760 269778 267616 267634 267620 269824 269842 269828 269856 269874 269860 267619 269827 271200 271488 271520 271204 271492 271524 271203 271491 271218 271506 271538,,,"PCA Info {IHE PCD Infusion Pump Work Group }","Actual drug amount in container. {IHE PCD Infusion Pump Work Group }"
BLD_CHM_INR_PHD,MDC_MED_CURRENT_COAG,,8417916,,,,,,"M","MDC_DIM_MILLI_G","mg",263890,,,"  {IEEE}",""
BLD_CHM_INR_PHD,MDC_MED_NEW_COAG,,8417920,,,,,,"M","MDC_DIM_MILLI_G","mg",263890,,,"  {IEEE}",""
INFANT_INCUBATOR INFANT_HYBRID_MICROENV,MDC_MICROENV_AIR_CURTAIN_STATE,,184339,"A.7.12.1","Status, Operational | Air curtain | Airflow | Incubator, Microenvironment","Air Curtain Status",,"The air curtain on an incubator is a specially-designed airflow to reduce temperature fluctuation and maintain the temperature inside the incubator when its access doors are opened.  The air curtain state indicates whether the air curtain is on, off or has been disabled by the user.","",,"",,"AIR_CURTAIN_OFF AIR_CURTAIN_ON AIR_CURTAIN_USER_DISABLED",,"MDC_DEV_INFANT_MICROENV_VMD {Nuvon}","Boost Air Status {Nuvon}"
INFANT_INCUBATOR INFANT_HYBRID_MICROENV,MDC_MICROENV_BED_STATE,,184338,"A.7.12.1","State, Bed | | State, open or closed | Incubator, Microenvironment","Bed State",,"The bed state indicates whether the infant’s incubator is closed, partially open or open, i.e. the top of the incubator is raised.","",,"",,"BED_OPEN BED_PARTIALLY_OPEN BED_CLOSED",,"MDC_DEV_INFANT_MICROENV_VMD {Nuvon}","The State of the Bed - Open or Not {Nuvon}"
INFANT_INCUBATOR INFANT_HYBRID_MICROENV,MDC_MICROENV_FAN_SPEED,,184341,"A.7.12.1","Fan speed | Air curtain | Airflow | Incubator","Fan Speed",,"The speed of the fan that controls the airflow in an infant incubator, such as low or high.","",,"",,"FAN_SPEED_LOW FAN_SPEED_HIGH",,"MDC_DEV_INFANT_MICROENV_VMD {Nuvon}","Fan Speed {Nuvon}"
INFANT_WARMER INFANT_INCUBATOR INFANT_HYBRID_MICROENV,MDC_MICROENV_HEATER_APPLIED_PWR,,184300,"A.7.12.1","Power, Relative | Heater | | Incubator or Warmer, Microenvironment","Heater Power",,"The heater power is the percentage of power (or actual power in watts) necessary to maintain the set temperature of the incubator or warmer.","1 L2MT-3","MDC_DIM_PERCENT MDC_DIM_WATT","% W",262688 266176,,,"MDC_DEV_INFANT_MICROENV_VMDMDC_DEV_INFANT_MICROENV_VMD/MDC_DEV_INFANT_MICROENV_HEATER_CONVECTIVE_CHAN {Nuvon}","Heater Power {Nuvon}"
INFANT_WARMER INFANT_INCUBATOR INFANT_HYBRID_MICROENV,MDC_MICROENV_HEATER_CNTRL_MODE,,184340,"A.7.12.1","Mode | Temperature Control | | Incubator or Warmer, Microenvironment","Temperature Control Mode",,"Specifies the manner in which the temperature of an infant incubator or radiant warmer is controlled.  For closed beds (incubators) the temperature is controlled based on patient sensor or air temperature.  For open beds (open incubator or warmer) the temperature is controlled based on patient sensor or manually set temperature.","",,"",,"PATIENT MANUAL AIR",,"MDC_DEV_INFANT_MICROENV_VMDMDC_DEV_INFANT_MICROENV_VMD/MDC_DEV_INFANT_MICROENV_HEATER_RADIANT_CHANMDC_DEV_INFANT_MICROENV_VMD/MDC_DEV_INFANT_MICROENV_HEATER_CONVECTIVE_CHAN {Nuvon}","Control Mode - Servo or Manual {Nuvon}"
